ID;Nome;Região;Estado;IDH_2010;PIB_2018;Rodovia;Km;Lat.;Long.;Comprimento;Largura;Gestora;Tipo;Norma;N. de vãos;Superestrutura;Material Super;Encontro;Ano;Classe;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;VMD;X_SIRGAS2000;Y_SIRGAS2000;Litoral_Dist;VMD_Truck
000001;Ponte sobre o Rio Juruá;North;AC;0.663;4.14;BR-307;189+310;-7.6426833;-72.666567;550.8;19.7;DNIT;Federal Public;DNIT;;Estaiada;Steel;Not Informed;;;;;;;;;;;;;;;4;;976.6592254999998;-3439380.6258529676;8986123.160014769;2826276.0020752503;363.3135949999999
000002;Ponte sobre o Igarapé Bagaço;North;AC;0.663;4.14;BR-317;48+490;-9.943266667;-67.490233333;29.5;10.95;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;339.3555805;-2752007.138383265;8751866.28037196;2321355.3849492064;63.06114999999997
000003;Ponte sobre o Igarapé Barra;North;AC;0.663;4.14;BR-317;274+600;-10.97;-68.617933333;50;10;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;254.186405;-2878888.4312606878;8609051.345406266;2506277.4906049143;107.325433
000004;Ponte sobre o Igarapé Entroncamento;North;AC;0.663;4.14;BR-317;286+410;-11.028016667;-68.697233333;31.1;10.15;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;254.186405;-2887955.660423227;8600674.87584191;2518492.1836387;107.325433
000005;Ponte sobre o Rio Acre;North;AC;0.663;4.14;BR-317;292+780;-11.017483333;-68.743933333;113.4;7.4;DNIT;Federal Public;DNIT;;Not Informed;Timber;Not Informed;;;;;;;;;;;;;;4;;4;254.186405;-2893911.195836304;8601365.96823299;2523015.711122698;107.325433
000006;Ponte sobre o Igarapé São Pedro;North;AC;0.663;4.14;BR-317;399+290;-10.898766667;-69.522266667;55;10.55;DNIT;Federal Public;DNIT;;Box Girder;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;;-2992814.265588997;8605623.808163358;2602938.6546030403;
000007;Ponte sobre o Igarapé do Grande;North;AC;0.663;4.14;BR-317;402+640;-10.9172;-69.54615;29.8;10.6;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;;-2995548.4590198705;8602949.081674734;2606689.2614283105;
000008;Ponte sobre o Rio Acre;North;AC;0.663;4.14;BR-317;407+360;-10.940283333;-69.57685;241;16.9;DNIT;Federal Public;DNIT;;Box Girder;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;;;-2999071.20481528;8599586.556946803;2611476.236523873;
000009;Ponte sobre o Igarapé Salão;North;AC;0.663;4.14;BR-364;2+960;-8.8273;-69.29755;42;9.9;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;;4;;477.525458;-2991022.437813541;8871644.162107345;2466370.398930818;214.434526
000010;Ponte sobre o Igarapé Salão;North;AC;0.663;4.14;BR-364;4+890;-8.8284667;-69.282017;42;9.9;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;;4;;477.525458;-2989044.6648916123;8871672.300793303;2464609.277607029;214.434526
000011;Ponte Sobre o Rio Riozinho;North;AC;0.663;4.14;BR-364;33+600;-9.938316667;-67.033166667;59.6;9.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;695.1870489999999;-2695617.9916757755;8757730.951275686;2271138.513934774;296.4372915
000012;Ponte sobre o Rio Iquiri;North;AC;0.663;4.14;BR-364;94+200;-10.0792;-67.543383333;120;9.8;DNIT;Federal Public;DNIT;;Slab;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;695.1870489999999;-2756977.7475806377;8734275.522083249;2335191.100557155;296.4372915
000013;Ponte Sobre o Rio Forquilha;North;AC;0.663;4.14;BR-364;113+800;-10.01345;-67.6939;40;9.9;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;598.8809145;-2776398.407379738;8740712.625751248;2347871.3454750725;264.686544
000014;Ponte sobre o Rio Judia;North;AC;0.663;4.14;BR-364;123+000;-10.01155;-67.787783333;92.12;19.15;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;598.8809145;-2788060.4765254217;8739838.364571868;2358118.5267057857;264.686544
000015;Ponte Sobre o Rio Acre;North;AC;0.663;4.14;BR-364;131+000;-10.0121;-67.842616667;198.18;20.09;DNIT;Federal Public;DNIT;;Estaiada;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;4;915.649833;-2794856.476200381;8739117.709898628;2364211.076099741;349.4121944999999
000016;Ponte sobre o Igarapé São Francisco (LE);North;AC;0.663;4.14;BR-364;141+210;-9.937866667;-67.880233333;36.9;9.95;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;1721.813224;-2800415.084638831;8747966.533059338;2364084.9510461516;142.9103560000001
000017;Ponte sobre o Igarapé São Francisco (LD);North;AC;0.663;4.14;BR-364;141+210;-9.937783333;-67.880166667;27.5;9.8;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;3;1721.813224;-2800407.801775127;8747977.760088712;2364072.757060232;142.9103560000001
000018;Ponte Sobre o Igarapé Mapinguari;North;AC;0.663;4.14;BR-364;170+390;-9.762616667;-68.063666667;40;9.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2825306.6958281184;8767773.508450214;2374521.471863472;101.148002
000019;Ponte sobre o Rio Andirá;North;AC;0.663;4.14;BR-364;178+790;-9.72265;-68.12875;60.6;9.95;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2833885.2844047043;8772025.961054202;2379560.6911903587;101.148002
000020;Ponte sobre o Igarapé Marizinho;North;AC;0.663;4.14;BR-364;196+670;-9.611583333;-68.245533333;22.4;8.4;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2849757.8761255327;8784613.656166695;2386500.95810686;101.148002
000021;Ponte sobre o Igarapé Marizinho;North;AC;0.663;4.14;BR-364;196+670;-9.611583333;-68.245533333;22.4;8.4;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;;407.546449;-2849757.8761255327;8784613.656166695;2386500.95810686;101.148002
000022;Ponte sobre o Igarapé do Fumaça;North;AC;0.663;4.14;BR-364;202+370;-9.573116667;-68.280283333;14.4;8.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2854547.737599665;8789045.421244994;2388297.320375419;101.148002
000023;Ponte Sobre Igarapé Patos;North;AC;0.663;4.14;BR-364;211+500;-9.511533333;-68.335883333;13.2;8.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2862214.418702417;8796146.472978048;2391202.9677638398;101.148002
000024;Ponte sobre o Rio Antimari;North;AC;0.663;4.14;BR-364;214+800;-9.4893;-68.355933333;56.3;8.76;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;3;;4;407.546449;-2864980.1559039457;8798712.12791845;2392259.4772267626;101.148002
000025;Ponte Sobre Igarapé Taquari;North;AC;0.663;4.14;BR-364;218+720;-9.462966667;-68.3797;19;7.35;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2868258.835572324;8801751.858420156;2393519.9277382325;101.148002
000026;Ponte Sobre Igarapé Sem Nome;North;AC;0.663;4.14;BR-364;222+760;-9.43575;-68.404166667;26.2;8.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;3;;4;407.546449;-2871635.9135597157;8804896.02018624;2394819.5111489245;101.148002
000027;Ponte Sobre o Rio Cassirian;North;AC;0.663;4.14;BR-364;243+100;-9.278416667;-68.495283333;39.5;8.95;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2884864.5694580604;8823675.26255973;2396742.457297921;101.148002
000028;Ponte sobre o Igarapé Limeira;North;AC;0.663;4.14;BR-364;252+930;-9.203716667;-68.542483333;41.1;8.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2891637.8652549437;8832558.520008238;2398175.581099123;101.148002
000029;Ponte Sobre o Igarapé Brejo Seco;North;AC;0.663;4.14;BR-364;255+530;-9.184983333;-68.556766667;17;8.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2893643.221171183;8834759.735606175;2398822.4794341056;101.148002
000030;Ponte sobre o Igarapé Seringueira;North;AC;0.663;4.14;BR-364;258+490;-9.163466667;-68.572833333;26.4;8.85;DNIT;Federal Public;DNIT;;Slab;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2895904.1751818787;8837292.57474576;2399530.774162048;101.148002
000031;Ponte sobre o Rio Iaco;North;AC;0.663;4.14;BR-364;272+510;-9.081183333;-68.660833333;180;9.3;DNIT;Federal Public;DNIT;;Beam;Composite;Not Informed;;;;;;;;;;;;;;3;;3;407.546449;-2907886.2447119346;8846685.47523856;2405332.9478361052;101.148002
000032;Ponte sobre o Rio Caeté;North;AC;0.663;4.14;BR-364;282+120;-9.062066667;-68.745483333;202.6;12.9;DNIT;Federal Public;DNIT;;Beam;Composite;Not Informed;;;;;;;;;;;;;;4;;4;478.599264;-2918738.338749314;8848143.09362263;2414088.1114767212;127.0644335
000033;Ponte sobre o Rio Purus;North;AC;0.663;4.14;BR-364;343+670;-8.889816667;-69.273533333;474.4;12.06;DNIT;Federal Public;DNIT;;Beam;Composite;Not Informed;;;;;;;;;;;;;;4;;4;478.599264;-2987269.2261556117;8863969.728817798;2466657.1236100113;127.0644335
000034;Ponte sobre o Rio Macapá;North;AC;0.663;4.14;BR-364;370+700;-8.75485;-69.474616667;90;9.85;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;4;508.2642075;-3014268.6640070947;8878851.804028787;2483606.227216438;138.9624985
